username,comment,likes,time
@suwandi8819,"​ @riosandra2568 kalau pak prabowo beritanya mbg bermanfaat bagi rakyat tidak jawaban ya?....
Kalau juri bermanfaat  untuk para peserta tidak jawab panya?...",0,1 hari yang lalu
@MiftakulRochman-h9w,​ @riosandra2568  monarki negaramu,0,13 jam yang lalu
@chhaazzaii,setuju,4,1 hari yang lalu
@DewaHitam-j5k,"Mending keluar negri aja. Yu ke Eropa. Jng di tinggal di Indonesia.. gak akan maju byk koruptor.. nyata itu. Gak ada kebanggaan , yg ada rasa kecewa...Yg ada kebodohan fakta.",3,1 hari yang lalu (diedit)
@INDAHCHANEL-86,Betullll syekaliii,2,1 hari yang lalu
@bebeyohanes0455,Up,1,1 hari yang lalu
@jaehahaheh123,Tolong lindungi adik pemberani ini,1,15 jam yang lalu
@abdillahmamen2092,Hahhaa,0,1 hari yang lalu
@iwankhoiri18,Up,0,1 hari yang lalu
@iwankhoiri18,Up,0,1 hari yang lalu
@iwankhoiri18,Up,0,1 hari yang lalu
@iwankhoiri18,Up,0,1 hari yang lalu
@iwankhoiri18,Up,0,1 hari yang lalu
@iwankhoiri18,Up,0,1 hari yang lalu
@senjakirana9888,"Malu dong kredibilitasnya menurun, apalagi ngelawan bocil-bocil..😂",0,1 hari yang lalu
@CobacobaBaco,"Katanya ""lebih biasakan artikulasi"" Keknya lebih pas itu lebih biasakan yang jadi juri gak budek",0,1 hari yang lalu
@NazmizanHamdiFathansyah,😂 mirip kyak pemimpin kita,0,1 hari yang lalu
@najaemingf5090,Upp,0,1 hari yang lalu
@jakkufurosto,"Bener banget, lomba cerdas cermat tapi jurinya gak cerdas maupun cermat",0,1 hari yang lalu
@rizkyyudh4223,Pantesan suara rakyat gak didengar wkwk,0,1 hari yang lalu
@jemonoblitar267,"Jurinya Tuli, gak fokus, dublek",0,1 hari yang lalu
@zorokevin1991,Miris,0,1 hari yang lalu
@UtehSasak,Iya juri yg gax teliti ni,0,1 hari yang lalu
@lyqzna,STUJUUUUU❤❤❤❤❤❤❤,0,1 hari yang lalu
@Maulanna292,Padahal jawabannya sudah jelas,0,1 hari yang lalu
@DewaHitam-j5k,​ @Maulanna292 . Etar anak sya kalau udh gede. Tak suruh tinggal di eropa. Jerman apa Belanda. Masa depan nya lebih cerah..,0,1 hari yang lalu
@jemong27,"hemat saya harusnya juri lebih pintar sih dan harus ngerti ini acara mempermaulakan negara,jurinya aja kaya gini",0,1 hari yang lalu
@PencariNafkah-b6c,Kalau dia menjdi menteri pasti korupsi yg ada di otak nya 😂😂,0,1 hari yang lalu
@OktaViana-g9o,Sorry to say tapi kalau menurut saya ini MC nya tidak memperhatikan jadi kurang aware dan jurinya ngantuk jadi denial 🫣 ditunggu permintaan maafnya ke peserta ya Pak dan Bu 🙏🏼,0,1 hari yang lalu
@marhaentojp6827,"jurinya sudah ok,, semua juara lomba bolot ..",0,23 jam yang lalu
@cinemainspirasi,Memang egois juri e tengok dari wajah e yak,0,23 jam yang lalu
@muhammadariva1040,"emang bener selama kita demo gk bakal di dengar atau digubris sedikitpun, merekanya aja begini",0,21 jam yang lalu
@aryreombo,Ditunggu video perminta maafannya biar sportif,0,20 jam yang lalu
@SurantoSelin-pk2bs,Yang sabar untuk anak SMA Negeri 1 pontianak,0,20 jam yang lalu
@SurantoSelin-pk2bs,Up,0,20 jam yang lalu
@thecunn5076,"Bener banget , ini point'",0,19 jam yang lalu
@astutimusahudin,👍👍👍👍👍👍,0,18 jam yang lalu
@ErwinFelani-q8y,"org yg gak mau dibantah, keras kepala, merasa kuasa",0,18 jam yang lalu
@DewaHitam-j5k,"​ @ErwinFelani-q8y .
Hidup koruptor. Hidup koruptor hiduppppp koruptor.. mari majukan budaya koruptor...",0,18 jam yang lalu
@DewaHitam-j5k,Hidup koruptor. Hidup koruptor hiduppppp koruptor.. mari majukan budaya koruptor...,0,18 jam yang lalu
@lonasaja,"Iya, berpandangan sempit dan arogan.",0,17 jam yang lalu
@hariwibowo5635,"Yg jadi pilarnya sudah remuk bro…😂😂😂
Dewan juri kok arogan amat…
Artikulasi😂😂😂",0,16 jam yang lalu
@three4758,up,0,15 jam yang lalu
@Blueyeti45,1:13:16  parah ini😂,0,15 jam yang lalu
@Juanto-k7f,Orang seperti ini tidak pantas sebagai juri apalagi pejabat yang tidak mau di ingatkan juri arogan,0,14 jam yang lalu
@Akudewe-yv6rv,Bergerak berawal dari sektor pendidikan. Mencari kebenaran dan keadilan..!!,0,14 jam yang lalu
@ahsanulalfajarinugraha5354,admin baca komentar ini ga yaa??,0,13 jam yang lalu
@zahra_2205,"Suara peserta sedekat itu aja tak terdengar, apalagi suara rakyat😩",0,12 jam yang lalu
@rusmantorusman5382,Juri nya budeg gak ngarti...,0,12 jam yang lalu
@twinchannel1315,BOLOT,0,12 jam yang lalu
@nafasya_fu,Menit keberapa yah?,0,11 jam yang lalu
@nafasya_fu,Menit keberapa?,0,11 jam yang lalu
@nafasya_fu,Menit 1:10:0,0,11 jam yang lalu
@MahesaCakra-j5o,Artikulasi ibuk yg jadi juri nggak jelas..,0,11 jam yang lalu
@cenel2an,Juri2 terbiasa Budeg pada aspirasi rakyat bahkan membungkam rakyat 🗿,0,10 jam yang lalu
@squadhard6138,"ngomong artikulasi perhatikan tp sendiri nya ngomong R aja masi blm jelas wkwk, bkn nya ngatain tapi kuping juri rada"" 😂",0,10 jam yang lalu
@YudhaYudha-wv8td,Ikut,0,10 jam yang lalu
@Haliling2608,"Makanya malas berdebat pendapat sama orang tua, merasa paling tau segalanya, susah nerima pendapat",0,9 jam yang lalu
@asepsliyeg6525,"JURI ADALAH WAKIL TUHAN YANG PERNYATAANNYA TIDAK BOLEH DIBANTAH, DIBANTAH MAKA DOSA ANDA PLUS 10 DAN PAHALA MINUS 5.",0,9 jam yang lalu
@bisaaja-g5z,Lha jangankan suara siswa suara rakyatpun mereka tidak mendengar,0,9 jam yang lalu
@tikahns1541,berasa jadi raja banget dewan juri gamau di kritik samsek haha,0,7 jam yang lalu
@FahirasalwaAfifa,Kesini gara2 viral juri yg g jelas dengernya alias budek jd penasaran kira2 siapa yg jd pemeenangnya😊😅,0,6 jam yang lalu
@axelrose9383,"Itu lah gambaran para pejabat di Indonesia, merasa paling benar dan anti kritik.",0,5 jam yang lalu
@ChanelPN,"Saya setuju dengan tanggapan anda,",0,5 jam yang lalu
@popohejo1,mirip siapa ya?? 😁😁😁,0,5 jam yang lalu
@Dinafri,Itu bukan juri tapi jurang yang longsor,0,4 jam yang lalu
@fitriannisa9050,"Apabila kebenaran dibungkam, Rakyat ditindas, Penguasa sudah Anti Kritik, maka hanya ada 1 kata ""LAWAN"".",0,4 jam yang lalu
@RHChannel10,Rumah Demokrasi Bangsa Ini perlu di bersihkan dari tangan tangan otoriter dan kapitalis,0,3 jam yang lalu
@Mulyono-re5gw,Juri ngantuk kok dipakek,0,3 jam yang lalu
@mancingmancing2002,Harusnya ada VAR,0,2 jam yang lalu
@lordvalc4478,"JURI NYA DARI MPR , TAPI MALAH MELANGGAR UU...",0,2 jam yang lalu
@muhammadwildan4461,Orang totol jadi juri,0,2 jam yang lalu
@antaline,Kok Orang Tuli jadi Juri sihh 😌,0,2 jam yang lalu
@gagarisman3424,Jangan memberi contoh otoriter pada generasi muda. Kan bisa diputar kembali jawabannya yang sudah terekam. Sepakbola saja ada tayangan ulang demi tercapainya kepuasan bersama dan kemenangan yang diakui semua pihak.,0,1 jam yang lalu
@zufry001,"Pasang VAR , sekelas nasional keputusan berdasarkan asumsi juri... Udah gak jaman. Biarkan jawaban tetaplah jawaban. Anak"" yang pintar ini tersandung hanya karena ke egoan hirarki.",0,1 jam yang lalu (diedit)
@rahmattok2541,seindonesia bahkan sejagatraya melihatnya...🙏,0,1 jam yang lalu
@rahmattok2541,ini acara CEDAS CERMAT?,0,1 jam yang lalu
@murniatimene4286,"Jawabannya sama, kenapa  tim juri nya pilih kasih 😮",0,1 jam yang lalu
@didansmachs4293,"Menjatuhkan semangat si ade,bagusnya di biokot aja,buang2 anggaran honor juri gak mutu,efisiensi woyy..",32,1 hari yang lalu
@jaehahaheh123,Tolong lindungi adik pemberani ini,7,15 jam yang lalu
@DewaHitam-j5k,Hidup koruptor. Hidup koruptor hiduppppp koruptor.. mari majukan budaya koruptor...,5,18 jam yang lalu
@Safri_ef17,​ @DewaHitam-j5k Hidoop Kokowikwik,1,9 jam yang lalu
@ahsanulalfajarinugraha5354,Admin channelnya baca komentar ga ya?,4,13 jam yang lalu
@VIO_AP,Acara gak berpaedah yg tdnya mau hebat ehhh malah di hujat seindonesia😅😅😅,2,14 jam yang lalu
@lyqzna,STUJUUUUU❤❤❤❤❤,1,1 hari yang lalu
@lamanian019,Harus dipecat,1,21 jam yang lalu
@Anakibu-yanti,pecat aja itu beban negara,1,12 jam yang lalu
@VIO_AP,​ @Anakibu-yanti Yg begini malah di dapat promosi jabatan  oleh negara konoha😅😅😅😅,0,10 jam yang lalu
@RamonAlvaroW,itu dh,0,1 hari yang lalu
@SurantoSelin-pk2bs,Up,0,20 jam yang lalu
@DPWPANProvinsiJambi,Juri gak bermutu,0,8 jam yang lalu
@DPWPANProvinsiJambi,Nampak sekali curangnya menyebut sma yang juara satu dengan tepuk tangan,0,8 jam yang lalu
@Franky-v9i,Gk berkompetan kok jadi juri,0,7 jam yang lalu
@journaldemokrasi,Juri dan MC punya akun YouTube gk????,0,6 jam yang lalu
@bernadettadewi3774,"Betul, adeknya bisa jadi mau jawab tapi takut dapat nilai minus lagi. Bagus loh adeknya kritis dan berani",0,5 jam yang lalu
@nufusnufus2312,Betul,0,48 menit yang lalu
@xytrue-c2w,"Bener sih, anak2 ini semua udah berani lawan rasa canggungnya mereka loh, kalo misalnya memang ada artikulasi yg kurang jelas itu juga karna rasa grogi mereka itu hal wajar, kita aja suka gemeter tiba² blank, itu udah bener jawabannya & jelas, harusnya didukung, ditoleransi & kasih nilai,.",0,34 menit yang lalu
@guidancecounseling24A,"Dewan jurinya tidak kompeten, lemot banget",0,22 jam yang lalu
@lukmanhakimsiregar1985,Beginilah kalau menempatkan orang yg tidak berkompeten...,0,20 jam yang lalu
@jaehahaheh123,Up sampai minta maaf dan ganti pemenang,12,15 jam yang lalu
@leoraawrr, @jaehahaheh123  SETUJUU,4,5 jam yang lalu
@ratnapuspasari4336,Setujuuuuuuu,1,4 jam yang lalu
@maryadi2556,Harus ada rasa keadilan,0,3 jam yang lalu
@mbohmekgaetumbal,bg kayaknya jurinya sekolah di depan gerbang keknya😹😹,0,3 jam yang lalu
@tribunpelajar6244,Revisiiiiii,0,3 jam yang lalu
@DikmediaGroup,Nitip jejak,6,3 jam yang lalu
@ulilya,1:11:00,1,3 jam yang lalu
@dedekurniawan6610,Yee kan yang salah orang miskin. Mangkanya kalau mau menang harus banyak duit,0,1 jam yang lalu
@ony0ur_nndd,"​​ @dedekurniawan6610  kalo mau menang ya harus cerdas, namanya juga cerdas cermat, bukan adu kekayaan",0,33 menit yang lalu (diedit)
@douzarblx,ini tuh menurut ku sama kaya jaman raja rajaan biarpun pandangan si raja salah dia bakal tetep itu bener dan membungkam orang yang ada di bawah nya😂😂,23,1 hari yang lalu
@fatihgama5939,"​ @douzarblx the king can do no wrong, NKRI: Negara Kesatuan Royal Indonesia.. 😂",2,21 jam yang lalu
@ainiatusnurvita7122,"Mental otoriter emang kek gtu, sama kek presidennya. Bawahnya juga pasti 11/12",9,1 hari yang lalu
@aldiedo2354,​ @ainiatusnurvita7122 apa hubungannya sama presiden? Elu anak abah ya? Masih tantrum aja,1,17 jam yang lalu
@AmonnnMlbb,Maklum Konoha mau teriak bagaimana mana juga tetep aja budeg😂,0,1 hari yang lalu
@nursyamsi2341,"Keknya elu yang lebih ber ""kompeten"" dah bang, dibanding mereka",0,1 hari yang lalu
@muhanas8737,maklum negara Indonesia mmg pada budeggg pejabat nya,0,1 hari yang lalu
@novantonova4640,Arogansi vs rakyat dimulai,0,1 hari yang lalu
@fajarsetiadi6058,Perli ada far sprti spak bola inggris,0,1 hari yang lalu
@jarih1411,"Betul,",0,23 jam yang lalu
@KurniawanKurniawan-ex4zz,"Tapi orang bodoh tidak bisa mengatakan itu pak, Krn orang bodoh akan selalu merasa benar meskipun dia salah 😂😂😂",0,21 jam yang lalu
@Pria-t9m,Meraka aja gak terhormat,0,16 jam yang lalu
@hariwibowo5635,"Otak dewan juri memang cerdas…tapi moralnya nol…
Gak bakal nyampe logika nya dewan juri…😂😂😂",0,16 jam yang lalu
@Blueyeti45,"klip waktu nya bro, jangan cuman koment pake kata",0,15 jam yang lalu
@money.mightchannel,udah di bungkam duluan,0,14 jam yang lalu
@arifwirandi6516,Nah itu dia seharusnya tapi ya ego nya itu lohh😅,0,12 jam yang lalu
@Nuyani822Yani,"Memang HIDUP di konoha.. lomba antar pelajar aja ada KKN, setingan, apalagi real di pemerintahan nya",0,11 jam yang lalu
@kritiksingkong,"Boomer Jawir biasanya yang begitu....

Udah sering ribut sama boomer Jawir",0,10 jam yang lalu
@NurFitriana-e5g,"Padahal jurinya aja pakai contekan buat tau jawabannya benar apa salah, malu ga sih udah pakai contekan aja masih salah 😂😂",0,9 jam yang lalu
@martinmartin2181,Juri dibayar mau bagaimana.. 😂,0,8 jam yang lalu
@gambartangan1462,yoi cek VAR dulu harusnya,0,5 jam yang lalu
@numberone_officiall,Setuju sih,0,2 jam yang lalu
@asep_kecebadai,Si paling artikulasi😂,0,2 jam yang lalu
@ridwankarnika7393,"Setuju banget, tapi kalo melihat begini justru malah membuat spekulasi kecurangan di juri",0,16 menit yang lalu (diedit)
@pelarihandal9232,"Iya, harusnya poinnya 45 80 85",0,1 jam yang lalu
@4nak.ba1k,Malu gak tuh juri nya😂😂,19,1 hari yang lalu
@VIA3R-TECH_WG-TECH,Malu maluin 😅,12,21 jam yang lalu
@jaehahaheh123,Tolong lindungi adik pemberani itu,5,15 jam yang lalu
@arbw_,"SURUH MINTA MAAF TUH SEMUA JURINYA, JANGAN PERNAH DIJADIIN JURI LAGI ORANG BUDEG GITU",2,11 jam yang lalu
@HendryWijaya-m9m,Telinga juri yg bermasalah banyak sawangnya artikulasi yg dijadiin biangkeroknya.  Suara adiknya msh jelas gitu,1,8 jam yang lalu
@ridwantaufiq5297,Ini AIB dunia pendidikan Indonesia...,0,11 jam yang lalu
@RexDev1L,"Saya rasa urat malu nya udah gak ada, liat aja nanti apakah ada permintaan maaf dan menanggung untuk kompensasi terhadap peserta yang dicurangi",0,7 jam yang lalu
@puaq,"Andai jujur jurinya, grup b point 8o dan grup c dpt 85. Krn tdk dpt pengurangan -5 tp dpt 10 dan grup b tdk 10 point",0,6 jam yang lalu
@NoritasamsinarSinaga-w3w,"Malu malu in jadi juri, boikot aj itu, gk cocok jdi teladan, emosi jiwa aq liatnya",0,1 jam yang lalu
@Mafaza-554,JURI PLOGA PLOGOO,19,1 hari yang lalu
@muhanas8737,​ @Mafaza-554 kebanyakan makan duit haram kalikk,6,1 hari yang lalu
@jaehahaheh123,Tolong lindungi adik pemberani itu,6,15 jam yang lalu
@sgerlentunas7952,Betul. Saya juga liat di poin 4. Tim B tidak sportif. Padahal mereka juga dengar jawaban Tim C. Kecuali jika mereka juga budeg sama kayak Jurinya.,3,6 jam yang lalu
@ravishaandini559,UP,0,1 hari yang lalu
@nathanaelarvin4822,UP,0,1 hari yang lalu
@lufvykartikasari4807,Up,0,1 hari yang lalu
@berbagiuntuknegeri_1,Up,0,1 hari yang lalu
@Revimariskaputri13,UO,0,1 hari yang lalu
@Revimariskaputri13,UP,0,1 hari yang lalu
@L-LyChannel,UP,0,1 hari yang lalu
@Topher30127,MANTAP BG,0,1 hari yang lalu
@Moanne.-qn6ft,setuju bang harus UP,0,1 hari yang lalu
@iyanriyana6534,Mantap sekali pengamatannya,0,1 hari yang lalu
@DedeSondra,Up,0,1 hari yang lalu
@japp9274,UP!!!,0,1 hari yang lalu
@Melisaa9u,Up,0,1 hari yang lalu
@bebeyohanes0455,Up,0,1 hari yang lalu
@siaa7,Uppopppppd,0,1 hari yang lalu
@angelsandco1154,UP,0,1 hari yang lalu
@muhanas8737,"di Kalimantan ini GK ada LG yg lebih kompeten kah?? setidaknya pendengaran baik dan bisa sebut R, Kok milih juri budegg, arogan lg",0,1 hari yang lalu
@ferdinramadyanza2010,"mau gimana pun pemenangnya udah ditentuin dari awal lagian, mau protes kaya apa juga ujung ujungnya pasti kalah 😂",0,1 hari yang lalu
@allinonebarokah9348,Ngeri emang wanita ini,0,23 jam yang lalu
@allinonebarokah9348,Up,0,23 jam yang lalu
@RaAA212,UP,0,23 jam yang lalu
@dellasariesta2856,up,0,21 jam yang lalu
@chachachuii,UPPPP,0,20 jam yang lalu
@gunapitra,"Jawaban yg benar sebenarnya pendek yaitu cukup "" Dewan Perwakilan Daerah""",0,15 jam yang lalu
@anangkurniawan-g7g,artukulasi(arti uang dan relasi)🎉,0,12 jam yang lalu
@Tamariii.12,Up,0,10 jam yang lalu
@Ri_aeri,UP!!!,0,10 jam yang lalu
@NoobGaming65-b1z,Pengangguran nih gk prnh praktek,0,1 hari yang lalu
@ASMR_UPDATES777,"Betul padahal yang clear winner harusnya tim c, tapi jurinya egois gak mau salah apalagi MC nya gak banget",33,1 hari yang lalu
@Raismighty7,mcnya aja mendukung juri dan ibu2 itu malah artikulasi,15,1 hari yang lalu
@rosyidahmad5423,​ @Raismighty7 maaf bukan physical abuse ya... Padahal dia juga cedal.. 😢,14,1 hari yang lalu
@NazmizanHamdiFathansyah,Walaupun cedal. Artikulasi huruf R jelas kok gak kayak orang cedal umumnya. Lagian kalo cedal kenapa sih. Jurinya bego apa gak paham yg dimaksud sama peserta walaupun dia cedal.,6,1 hari yang lalu
@DewaHitam-j5k,Hidup koruptor. Hidup koruptor hiduppppp koruptor.. mari majukan budaya koruptor...,0,18 jam yang lalu
@azefinasty7794,"juri dn mc diktator
MPR biasa membungkam suara rakyat.🤣🤣",0,17 jam yang lalu
@mochamadiqbal1626,MPR loh inii,0,14 jam yang lalu
@dwisusanto2673,Semoga budeg beneran,0,12 jam yang lalu
@NoobGaming65-b1z,Mudah pala lu org ini live gk ada yg record 😂😂😂,0,1 hari yang lalu
@viennavannapatti5610,"​ @NoobGaming65-b1z  ​ justruuuuu kalo live itu gampang bgt ditracknya. Tinggal putar ulang livenya dari device lain. Kalo niat sih harusnya bisa, yaa",4,1 hari yang lalu
@Teguhaman-f1q,Patut di duga apakah ada conflict of interest..?,7,7 jam yang lalu
@JaghataiSanguinius,​ @Teguhaman-f1q disogok kali yak?,0,7 jam yang lalu
@ariepandusadewa5536,Aroma KKN-nya kuat banget kayaknya sih,1,6 jam yang lalu
@mjltv3487,Kalo di angkat jadi ketua KPU sangat cocok nih😂😂😂😂😂,0,6 jam yang lalu
@IkaSusanti-ip9wy,sama kayak si wowo,0,4 jam yang lalu
@retnotranggono7766,"Yang dibutuhkan itu bukan juara,tapi ketelitian,kecermatan,kejujuran,dan keadilan dan jangan ada diskriminatif seperti yang sudah terjadi di video ini...",19,7 jam yang lalu
@munazar5108,"​ @retnotranggono7766 mereka yang menang kalau di hitung hasil akhirnya, setelah di tambah atau di potong group B 75 dan group C  80, nyesek!!!",2,6 jam yang lalu
@FahirasalwaAfifa,"​ @retnotranggono7766  y betul ini bukn hnya sekedar juara tp proses utk mencapai itu. Hrus ada kejujuran, keteliatan, kecermatan baik peserta ataupun juri",1,6 jam yang lalu
@FahirasalwaAfifa,Krn itu kelak kedepannya menentukan karakteristik dn nasib bangsa ini kl dlm hal ini aj g ada kejujuran dn ketelitan trus gmna kedepannya,1,6 jam yang lalu
@alanchannel239,Iya,0,5 jam yang lalu
@sustrisnoiduri,Artikulasi MC laki-laki..... Kurang jelas R nya,0,1 jam yang lalu
@Zenzuchi,Btw udah ada Klarifikasi belum? Dari mereka,19,1 hari yang lalu
@Info-mulai-HD,"Walaupun begituuu, itu berpengaruh dari mental seseorang kak😢",15,1 hari yang lalu
@jaehahaheh123,Dicurangi sejak dini,3,15 jam yang lalu
@HanzoBeginning,UP,2,1 hari yang lalu
@Alvarosigma-j9x,"Engga Copas itu, Yang salah jurinya. Karena Jawaban ya cuma satu",2,1 hari yang lalu
@tirtacf9357,Up,1,1 hari yang lalu
@norlailaazmi4155,Up,1,1 hari yang lalu
@ceritamamaren,Lah iya bener,0,1 hari yang lalu
@ravishaandini559,This,0,1 hari yang lalu
@Zenzuchi,UP,0,1 hari yang lalu
@Bendera17913,😢,0,1 hari yang lalu
@darulakhiroh7345,Up,0,1 hari yang lalu
@bebeyohanes0455,Up,0,1 hari yang lalu
@Nimull,up,0,23 jam yang lalu
@MyChannel-ln1yf,up,0,23 jam yang lalu
@mulai_bareng,Up,0,22 jam yang lalu
