username,comment,likes,time,likes_clean,days_ago,text_length,comment_clean,comment_normalized,comment_final,sentiment
@KY-ca45aprl,"Juara 3 Alhamdulillah masih juara

Juara 2 sedikit lagi sampai puncak juara tapi kecewa, terkecewakan, dan sakit tak berdarah

Juara 1 tekanan baru dimulai",1,10 menit yang lalu,1,0,159,juara alhamdulillah masih juara juara sedikit lagi sampai puncak juara tapi kecewa terkecewakan dan sakit tak berdarah juara tekanan baru dimulai,juara alhamdulillah masih juara juara sedikit lagi sampai puncak juara tapi kecewa terkecewakan dan sakit tak berdarah juara tekanan baru dimulai,juara alhamdulillah juara juara puncak juara kecewa terkecewakan sakit tak berdarah juara tekanan baru dimulai,0
@ginginchannel733,Viralkan yuk netizen. Greget banget sama juri-jurinya. Murid2 ini di gaslighting sejak dini sama dewan juri dan MCnya 😱😱,96,23 jam yang lalu,96,0,120,viralkan yuk netizen greget banget sama juri jurinya murid ini di gaslighting sejak dini sama dewan juri dan mcnya,viralkan yuk netizen greget banget sama juri jurinya murid ini di gaslighting sejak dini sama dewan juri dan mcnya,viralkan netizen greget juri jurinya murid gaslighting sejak dini dewan juri mcnya,0
@habibhubwallah7428,Juri dan MC tolong dibanned seumur hidup dari acara begini,628,1 hari yang lalu,628,1,58,juri dan mc tolong dibanned seumur hidup dari acara begini,juri dan mc tolong dibanned seumur hidup dari acara begini,juri mc dibanned seumur hidup acara,0
@YunoSpring,"MC  nya nyeleneh... ""perasaan adek saja"". Dia tau dia benar makanya dia mempertahankan opininya.",376,1 hari yang lalu,376,1,96,mc nya nyeleneh perasaan adek saja dia tau dia benar makanya dia mempertahankan opininya,mc ya nyeleneh perasaan adek saja dia tau dia benar makanya dia mempertahankan opininya,mc nyeleneh perasaan adek tau benar makanya mempertahankan opininya,0
@edwardsarkawi4944,"Kalau benar jawabnanya jangan malu mengakui kesalahan dan ke hilapan dan berikan penilaian ulang ,dan dilakukan revisi secara gentle dan demi keadilan dan kejujuran.",1,22 menit yang lalu,1,0,165,kalau benar jawabnanya jangan malu mengakui kesalahan dan ke hilapan dan berikan penilaian ulang dan dilakukan revisi secara gentle dan demi keadilan dan kejujuran,kalau benar jawabnanya jangan malu mengakui kesalahan dan ke hilapan dan berikan penilaian ulang dan dilakukan revisi secara gentle dan demi keadilan dan kejujuran,benar jawabnanya jangan malu mengakui kesalahan hilapan berikan penilaian ulang dilakukan revisi gentle keadilan kejujuran,0
@gurujambrong6949,"Kepala biro pengkajian sekjen MPR-RI bapak Dyastasita wb
Nama juri yg laki",60,1 hari yang lalu,60,1,75,kepala biro pengkajian sekjen mpr ri bapak dyastasita wb nama juri yg laki,kepala biro pengkajian sekjen mpr ri bapak dyastasita wb nama juri yang laki,kepala biro pengkajian sekjen mpr ri bapak dyastasita wb nama juri laki,0
@mbahgietz9489,​ @gurujambrong6949 ..orang budeg ternyata bisa jadi anggota mpr ya...makasih infone gan..,28,1 hari yang lalu,28,1,90,orang budeg ternyata bisa jadi anggota mpr ya makasih infone gan,orang budeg ternyata bisa jadi anggota mpr ya terima kasih infone gan,budeg ternyata anggota mpr terima kasih infone gan,0
@journaldemokrasi,"​ @gurujambrong6949 nih babu rakyat, kita yg gaji malah nindes, sok sok berkuasa!",0,6 jam yang lalu,0,0,81,nih babu rakyat kita yg gaji malah nindes sok sok berkuasa,nih babu rakyat kita yang gaji malah nindes sok sok berkuasa,babu rakyat gaji malah nindes sok sok berkuasa,0
@cinemainspirasi,Inilah gambaran di Indonesia sekarang,28,1 hari yang lalu,28,1,37,inilah gambaran di indonesia sekarang,inilah gambaran di indonesia sekarang,inilah gambaran indonesia sekarang,1
@srimulyani-ek2bh, @cinemainspirasi nampak sangat jelas ya bung ketika kita ingin bersuara malah di patahkan dan ingin menang sendiri,13,1 hari yang lalu,13,1,115,nampak sangat jelas ya bung ketika kita ingin bersuara malah di patahkan dan ingin menang sendiri,menampak sangat jelas ya bung ketika kita ingin bersuara malah di patahkan dan ingin menang sendiri,menampak sangat jelas bung bersuara malah patahkan menang,1
@rizky3931,KLO gini lebih bagus tak perlu diadakan lomba seperti.mencerai sportifitas,11,1 hari yang lalu,11,1,74,klo gini lebih bagus tak perlu diadakan lomba seperti mencerai sportifitas,kalau begini lebih bagus tak perlu diadakan lomba seperti mencerai sportifitas,lebih bagus tak perlu diadakan lomba mencerai sportifitas,1
@Handsomecoll,"😅😅😅😅
Lucu sekali para juri nya ya",9,1 hari yang lalu,9,1,34,lucu sekali para juri nya ya,lucu sekali para juri ya ya,lucu sekali juri,0
@riosandra2568,"Ini sandiwara apaan sih,dah bubarin DPRD dpr",7,1 hari yang lalu,7,1,44,ini sandiwara apaan sih dah bubarin dprd dpr,ini sandiwara apaan sih sudah bubarin dprd dpr,sandiwara apaan bubarin dprd dpr,0
@suwandi8819,"​ @riosandra2568 kalau pak prabowo beritanya mbg bermanfaat bagi rakyat tidak jawaban ya?....
Kalau juri bermanfaat  untuk para peserta tidak jawab panya?...",0,1 hari yang lalu,0,1,158,kalau pak prabowo beritanya mbg bermanfaat bagi rakyat tidak jawaban ya kalau juri bermanfaat untuk para peserta tidak jawab panya,kalau pak prabowo beritanya mbak bermanfaat bagi rakyat tidak jawaban ya kalau juri bermanfaat untuk para peserta tidak jawab panya,pak prabowo beritanya mbak bermanfaat rakyat tidak jawaban juri bermanfaat peserta tidak jawab panya,0
@MiftakulRochman-h9w,​ @riosandra2568  monarki negaramu,0,13 jam yang lalu,0,0,34,monarki negaramu,monarki negaramu,monarki negaramu,1
@chhaazzaii,setuju,4,1 hari yang lalu,4,1,6,setuju,setuju,setuju,1
@DewaHitam-j5k,"Mending keluar negri aja. Yu ke Eropa. Jng di tinggal di Indonesia.. gak akan maju byk koruptor.. nyata itu. Gak ada kebanggaan , yg ada rasa kecewa...Yg ada kebodohan fakta.",3,1 hari yang lalu (diedit),3,1,174,mending keluar negri aja yu ke eropa jng di tinggal di indonesia gak akan maju byk koruptor nyata itu gak ada kebanggaan yg ada rasa kecewa yg ada kebodohan fakta,mending keluar negeri saja yuk ke eropa jangan di tinggal di indonesia tidak akan maju banyak koruptor nyata itu tidak ada kebanggaan yang ada rasa kecewa yang ada kebodohan fakta,mending keluar negeri eropa jangan tinggal indonesia tidak maju koruptor nyata tidak kebanggaan rasa kecewa kebodohan fakta,0
@INDAHCHANEL-86,Betullll syekaliii,2,1 hari yang lalu,2,1,18,betullll syekaliii,betul syekali,betul syekali,1
@bebeyohanes0455,Up,1,1 hari yang lalu,1,1,2,up,up,up,1
@jaehahaheh123,Tolong lindungi adik pemberani ini,1,15 jam yang lalu,1,0,34,tolong lindungi adik pemberani ini,tolong lindungi adik pemberani ini,lindungi adik pemberani,1
@abdillahmamen2092,Hahhaa,0,1 hari yang lalu,0,1,6,hahhaa,hahhaa,hahhaa,1
@senjakirana9888,"Malu dong kredibilitasnya menurun, apalagi ngelawan bocil-bocil..😂",0,1 hari yang lalu,0,1,66,malu dong kredibilitasnya menurun apalagi ngelawan bocil bocil,malu dong kredibilitasnya menurun apalagi melawan bocil bocil,malu kredibilitasnya menurun melawan bocil bocil,0
@CobacobaBaco,"Katanya ""lebih biasakan artikulasi"" Keknya lebih pas itu lebih biasakan yang jadi juri gak budek",0,1 hari yang lalu,0,1,96,katanya lebih biasakan artikulasi keknya lebih pas itu lebih biasakan yang jadi juri gak budek,katanya lebih biasakan artikulasi kayaknya lebih pas itu lebih biasakan yang jadi juri tidak budek,katanya lebih biasakan artikulasi lebih pas lebih biasakan juri tidak budek,0
@NazmizanHamdiFathansyah,😂 mirip kyak pemimpin kita,0,1 hari yang lalu,0,1,26,mirip kyak pemimpin kita,mirip kayak pemimpin kita,mirip pemimpin,1
@najaemingf5090,Upp,0,1 hari yang lalu,0,1,3,upp,upp,upp,1
@jakkufurosto,"Bener banget, lomba cerdas cermat tapi jurinya gak cerdas maupun cermat",0,1 hari yang lalu,0,1,71,bener banget lomba cerdas cermat tapi jurinya gak cerdas maupun cermat,benar banget lomba cerdas cermat tapi jurinya tidak cerdas maupun cermat,benar lomba cerdas cermat jurinya tidak cerdas maupun cermat,0
@rizkyyudh4223,Pantesan suara rakyat gak didengar wkwk,0,1 hari yang lalu,0,1,39,pantesan suara rakyat gak didengar wkwk,pantesan suara rakyat tidak didengar wkwk,pantesan suara rakyat tidak didengar,1
@jemonoblitar267,"Jurinya Tuli, gak fokus, dublek",0,1 hari yang lalu,0,1,31,jurinya tuli gak fokus dublek,jurinya tuli tidak fokus dublek,jurinya tuli tidak fokus dublek,0
@zorokevin1991,Miris,0,1 hari yang lalu,0,1,5,miris,miris,miris,1
@UtehSasak,Iya juri yg gax teliti ni,0,1 hari yang lalu,0,1,25,iya juri yg gax teliti ni,iya juri yang gax teliti nih,juri gax teliti,0
@lyqzna,STUJUUUUU❤❤❤❤❤❤❤,0,1 hari yang lalu,0,1,16,stujuuuuu,setuju,setuju,1
@Maulanna292,Padahal jawabannya sudah jelas,0,1 hari yang lalu,0,1,30,padahal jawabannya sudah jelas,padahal jawabannya sudah jelas,padahal jawabannya jelas,1
@DewaHitam-j5k,​ @Maulanna292 . Etar anak sya kalau udh gede. Tak suruh tinggal di eropa. Jerman apa Belanda. Masa depan nya lebih cerah..,0,1 hari yang lalu,0,1,123,etar anak sya kalau udh gede tak suruh tinggal di eropa jerman apa belanda masa depan nya lebih cerah,etar anak saya kalau sudah gede tak suruh tinggal di eropa jerman apa belanda masa depan ya lebih cerah,etar anak gede tak suruh tinggal eropa jerman belanda masa depan lebih cerah,1
@jemong27,"hemat saya harusnya juri lebih pintar sih dan harus ngerti ini acara mempermaulakan negara,jurinya aja kaya gini",0,1 hari yang lalu,0,1,112,hemat saya harusnya juri lebih pintar sih dan harus ngerti ini acara mempermaulakan negara jurinya aja kaya gini,hemat saya harusnya juri lebih pintar sih dan harus mengerti ini acara mempermaulakan negara jurinya saja kayak begini,hemat harusnya juri lebih pintar mengerti acara mempermaulakan negara jurinya,0
@PencariNafkah-b6c,Kalau dia menjdi menteri pasti korupsi yg ada di otak nya 😂😂,0,1 hari yang lalu,0,1,60,kalau dia menjdi menteri pasti korupsi yg ada di otak nya,kalau dia menjadi menteri pasti korupsi yang ada di otak ya,menjadi menteri korupsi otak,1
@OktaViana-g9o,Sorry to say tapi kalau menurut saya ini MC nya tidak memperhatikan jadi kurang aware dan jurinya ngantuk jadi denial 🫣 ditunggu permintaan maafnya ke peserta ya Pak dan Bu 🙏🏼,0,1 hari yang lalu,0,1,175,sorry to say tapi kalau menurut saya ini mc nya tidak memperhatikan jadi kurang aware dan jurinya ngantuk jadi denial ditunggu permintaan maafnya ke peserta ya pak dan bu,sorry tapi sayang tapi kalau menurut saya ini mc ya tidak memperhatikan jadi kurang aware dan jurinya ngantuk jadi denial ditunggu permintaan maafnya ke peserta ya pak dan bu,sorry sayang mc tidak memperhatikan kurang aware jurinya ngantuk denial ditunggu permintaan maafnya peserta pak bu,0
@marhaentojp6827,"jurinya sudah ok,, semua juara lomba bolot ..",0,23 jam yang lalu,0,0,45,jurinya sudah ok semua juara lomba bolot,jurinya sudah ok semua juara lomba bolot,jurinya juara lomba bolot,0
@cinemainspirasi,Memang egois juri e tengok dari wajah e yak,0,23 jam yang lalu,0,0,43,memang egois juri e tengok dari wajah e yak,memang egois juri e tengok dari wajah e ya,egois juri e tengok wajah e,0
@muhammadariva1040,"emang bener selama kita demo gk bakal di dengar atau digubris sedikitpun, merekanya aja begini",0,21 jam yang lalu,0,0,94,emang bener selama kita demo gk bakal di dengar atau digubris sedikitpun merekanya aja begini,memang benar selama kita demo tidak bakal di dengar atau digubris sedikitpun merekanya saja begini,benar demo tidak bakal dengar digubris sedikitpun merekanya,1
@aryreombo,Ditunggu video perminta maafannya biar sportif,0,20 jam yang lalu,0,0,46,ditunggu video perminta maafannya biar sportif,ditunggu video perminta maafannya biar sportif,ditunggu video perminta maafannya biar sportif,1
